RTP Calculator for 4-Reel Slot Machine (Bias-Based)

Symbol;Multiplier;Bias Reel 1;Bias Reel 2;Bias Reel 3;Bias Reel 4
A;20;5;5;5;5
K;15;10;10;10;10
Q;10;15;15;15;15
J;5;20;20;20;20
10;2;25;25;25;25
X;0;20;20;20;20
Total Bias per Reel;=SUM(C4:C9);=SUM(D4:D9);=SUM(E4:E9);=SUM(F4:F9)

Symbol;Reel 1;Reel 2;Reel 3;Reel 4
A;=C4/C10;=D4/D10;=E4/E10;=F4/F10
K;=C5/C10;=D5/D10;=E5/E10;=F5/F10
Q;=C6/C10;=D6/D10;=E6/E10;=F6/F10
J;=C7/C10;=D7/D10;=E7/E10;=F7/F10
10;=C8/C10;=D8/D10;=E8/E10;=F8/F10
X;=C9/C10;=D9/D10;=E9/E10;=F9/F10

Sum of probabilities per reel:;=SUM(C13:C18);=SUM(D13:D18);=SUM(E13:E18);=SUM(F13:F18)
Combination;Probability;Multiplier;Contribution to RTP
AAAA;=PRODUCT(C13,D13,E13,F13);20;=B22*C22
KKKK;=PRODUCT(C14,D14,E14,F14);15;=B23*C23
QQQQ;=PRODUCT(C15,D15,E15,F15);10;=B24*C24
JJJJ;=PRODUCT(C16,D16,E16,F16);5;=B25*C25
10101010;=PRODUCT(C17,D17,E17,F17);2;=B26*C26
AAAX;=PRODUCT(C13,D13,E13,F18);20;=B27*C27
AAXA;=PRODUCT(C13,D13,E18,F13);20;=B28*C28
AXAA;=PRODUCT(C13,D18,E13,F13);20;=B29*C29
XAAA;=PRODUCT(C18,D13,E13,F13);20;=B30*C30
AAXX;=PRODUCT(C13,D13,E18,F18);20;=B31*C31
AXAX;=PRODUCT(C13,D18,E13,F18);20;=B32*C32
AXXA;=PRODUCT(C13,D18,E18,F13);20;=B33*C33
XAAX;=PRODUCT(C18,D13,E13,F18);20;=B34*C34
XAXA;=PRODUCT(C18,D13,E18,F13);20;=B35*C35
XXAA;=PRODUCT(C18,D18,E13,F13);20;=B36*C36
AXXX;=PRODUCT(C13,D18,E18,F18);20;=B37*C37
XAXX;=PRODUCT(C18,D13,E18,F18);20;=B38*C38
XXAX;=PRODUCT(C18,D18,E13,F18);20;=B39*C39
XXXA;=PRODUCT(C18,D18,E18,F13);20;=B40*C40
KKKX;=PRODUCT(C14,D14,E14,F18);15;=B41*C41
KKXK;=PRODUCT(C14,D14,E18,F14);15;=B42*C42
KXKK;=PRODUCT(C14,D18,E14,F14);15;=B43*C43
XKKK;=PRODUCT(C18,D14,E14,F14);15;=B44*C44
KKXX;=PRODUCT(C14,D14,E18,F18);15;=B45*C45
KXKX;=PRODUCT(C14,D18,E14,F18);15;=B46*C46
KXXK;=PRODUCT(C14,D18,E18,F14);15;=B47*C47
XKKX;=PRODUCT(C18,D14,E14,F18);15;=B48*C48
XKXK;=PRODUCT(C18,D14,E18,F14);15;=B49*C49
XXKK;=PRODUCT(C18,D18,E14,F14);15;=B50*C50
KXXX;=PRODUCT(C14,D18,E18,F18);15;=B51*C51
XKXX;=PRODUCT(C18,D14,E18,F18);15;=B52*C52
XXKX;=PRODUCT(C18,D18,E14,F18);15;=B53*C53
XXXK;=PRODUCT(C18,D18,E18,F14);15;=B54*C54
QQQX;=PRODUCT(C15,D15,E15,F18);10;=B55*C55
QQXQ;=PRODUCT(C15,D15,E18,F15);10;=B56*C56
QXQQ;=PRODUCT(C15,D18,E15,F15);10;=B57*C57
XQQQ;=PRODUCT(C18,D15,E15,F15);10;=B58*C58
QQXX;=PRODUCT(C15,D15,E18,F18);10;=B59*C59
QXQX;=PRODUCT(C15,D18,E15,F18);10;=B60*C60
QXXQ;=PRODUCT(C15,D18,E18,F15);10;=B61*C61
XQQX;=PRODUCT(C18,D15,E15,F18);10;=B62*C62
XQXQ;=PRODUCT(C18,D15,E18,F15);10;=B63*C63
XXQQ;=PRODUCT(C18,D18,E15,F15);10;=B64*C64
QXXX;=PRODUCT(C15,D18,E18,F18);10;=B65*C65
